PE-27,PE-33,PE-34,PE-46,Zombie,Snake,Tetris
0.64,0.43,0.60,0.83,0.43,0.55,0.56
0.61,0.45,0.59,0.83,0.45,0.57,0.54
0.63,0.44,0.61,0.83,0.41,0.55,0.57
0.64,0.47,0.59,0.82,0.44,0.56,0.55
0.63,0.44,0.62,0.83,0.44,0.56,0.55
0.63,0.42,0.60,0.83,0.43,0.55,0.54
0.63,0.44,0.61,0.84,0.43,0.57,0.56
0.63,0.45,0.58,0.83,0.44,0.57,0.57
0.63,0.45,0.61,0.83,0.44,0.57,0.55
0.64,0.43,0.60,0.84,0.47,0.56,0.56
0.63,0.45,0.59,0.83,0.44,0.54,0.55
0.63,0.44,0.60,0.84,0.44,0.58,0.56
0.64,0.38,0.61,0.84,0.39,0.58,0.56
0.64,0.44,0.61,0.84,0.42,0.58,0.56
0.64,0.44,0.60,0.83,0.44,0.57,0.56
0.64,0.46,0.60,0.82,0.43,0.56,0.56
0.64,0.42,0.61,0.81,0.44,0.56,0.53
0.64,0.44,0.60,0.84,0.39,0.57,0.54
0.64,0.43,0.60,0.83,0.38,0.57,0.56
0.63,0.44,0.57,0.84,0.44,0.58,0.56
0.63,0.43,0.60,0.84,0.44,0.57,0.55
0.63,0.46,0.60,0.84,0.44,0.58,0.56
0.63,0.42,0.59,0.83,0.43,0.57,0.56
0.64,0.45,0.59,0.83,0.43,0.58,0.56
0.64,0.46,0.62,0.83,0.43,0.58,0.55
0.63,0.43,0.60,0.83,0.44,0.57,0.55
0.64,0.44,0.61,0.84,0.44,0.57,0.56
0.63,0.44,0.61,0.83,0.46,0.56,0.54
0.62,0.42,0.59,0.84,0.44,0.58,0.56
0.63,0.43,0.59,0.84,0.44,0.57,0.56
